,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
126,annexin I,peptide,"['anxa1.1', 'anxa1.3']",,,,,inferred from Human
127,annexin I-(2-26),peptide,"['anxa1.1', 'anxa1.3']",,,,,inferred from Human
128,apelin-13,peptide,['apln'],,,,,inferred from Mouse
129,apelin-17,peptide,['apln'],,,,,inferred from Mouse
130,apelin-36,peptide,['apln'],,,,,inferred from Human
131,aprotinin,peptide,['apln'],,,,,inferred from Human
132,betacellulin,peptide,['btc'],,,,,inferred from Human
133,bovine adrenal medulla peptide 8-22,peptide,['penk'],,,,,inferred from Human
134,bradykinin,peptide,['kng1'],,,,,inferred from Mouse
135,brain natriuretic peptide,peptide,['nppb'],,,,,inferred from Human
136,cardiotrophin-1,peptide,['npas4'],,,,,inferred from Human
137,chemerin,peptide,['RARRES2'],,,,,inferred from Human
138,chorionic somatomammotropin hormone-like 1 ,peptide,"['gh2', 'gh1']",,,,,inferred from Human
139,corticotrophin-releasing hormone,peptide,"['ENSXETG00000035344', 'crh']",,,,,inferred from Mouse
140,corticotropin-releasing factor,peptide,"['ENSXETG00000035344', 'crh']",,,,,inferred from Mouse
141,cytokine domain of tyrosyl tRNA synthetase,peptide,['yars1'],,,,,inferred from Human
142,des-Br-neuropeptide B-23,peptide,['arvcf'],,,,,inferred from Human
143,des-Br-neuropeptide B-29,peptide,['arvcf'],,,,,inferred from Human
144,desulfated gastrin-14,peptide,"['gast', 'xt6l', 'ENSXETG00000038047']",,,,,inferred from Human
145,desulfated gastrin-17,peptide,"['gast', 'xt6l', 'ENSXETG00000038047']",,,,,inferred from Human
146,desulfated gastrin-34,peptide,"['gast', 'xt6l', 'ENSXETG00000038047']",,,,,inferred from Human
147,desulfated gastrin-71,peptide,"['gast', 'xt6l', 'ENSXETG00000038047']",,,,,inferred from Human
148,ectodysplasin A1,peptide,['eda'],,,,,inferred from Human
149,ectodysplasin A2,peptide,['eda'],,,,,inferred from Human
150,endothelin-1,peptide,['edn1'],,,,,inferred from Mouse
151,endothelin-2,peptide,['mier2'],,,,,inferred from Human
152,endothelin-3,peptide,['edn3'],,,,,inferred from Mouse
153,epigen,peptide,['lrch1'],,,,,inferred from Human
154,epiregulin,peptide,['ereg'],,,,,inferred from Human
155,erythropoietin,peptide,['esrra'],,,,,inferred from Human
156,galanin,peptide,['rnf149'],,,,,inferred from Mouse
157,gastric inhibitory polypeptide,peptide,['gip'],,,,,inferred from Rat
158,gastrin-14,peptide,"['gast', 'xt6l', 'ENSXETG00000038047']",,,,,inferred from Human
159,gastrin-17,peptide,"['gast', 'xt6l', 'ENSXETG00000038047']",,,,,inferred from Human
160,gastrin-34,peptide,"['gast', 'xt6l', 'ENSXETG00000038047']",,,,,inferred from Human
161,gastrin-71,peptide,"['gast', 'xt6l', 'ENSXETG00000038047']",,,,,inferred from Human
162,gastrin-releasing peptide,peptide,"['grp', 'ucma']",,,,,inferred from Human
163,glucagon,peptide,['gcg'],,,,,inferred from Mouse
164,glucagon-like peptide 1-(7-36) amide,peptide,['gcg'],,,,,inferred from Mouse
165,glucagon-like peptide 1-(7-37),peptide,['gcg'],,,,,inferred from Mouse
166,glucagon-like peptide 2,peptide,['gcg'],,,,,inferred from Rat
167,glucagon-like peptide 2-(2-33),peptide,['gcg'],,,,,inferred from Rat
168,glucagon-like peptide 2-(3-33),peptide,['gcg'],,,,,inferred from Rat
169,growth arrest specific protein 6,peptide,['gas6'],,,,,inferred from Human
170,growth differentiation factor 15,peptide,['ENSXETG00000034009'],,,,,inferred from Human
171,growth hormone 1,peptide,"['gh2', 'gh1']",,,,,inferred from Human
172,growth hormone 2,peptide,"['gh2', 'gh1']",,,,,inferred from Human
173,growth/differentiation factor-10,peptide,['gdf10'],,,,,inferred from Human
174,growth/differentiation factor-7,peptide,['gdf7'],,,,,inferred from Human
175,growth/differentiation factor-9,peptide,['gdf9'],,,,,inferred from Human
176,guanylyl cyclase-activating protein 1,peptide,['guca1al'],,,,,inferred from Mouse
177,guanylyl cyclase-activating protein 2,peptide,['guca1b'],,,,,inferred from Mouse
178,hepatocyte growth factor,peptide,['hgf'],,,,,inferred from Human
179,insulin,peptide,"['ins', 'ins']",,,,,inferred from Human
180,insulin-like growth factor 1,peptide,['igf1'],,,,,inferred from Mouse
181,insulin-like growth factor 2,peptide,['igf2'],,,,,inferred from Human
182,kallidin,peptide,['kng1'],,,,,inferred from Human
183,kisspeptin-10,peptide,['kiss1'],,,,,inferred from Human
184,kisspeptin-13,peptide,['kiss1'],,,,,inferred from Human
185,kisspeptin-14,peptide,['kiss1'],,,,,inferred from Human
186,kisspeptin-54,peptide,['kiss1'],,,,,inferred from Human
187,large neuromedin N,peptide,['nts'],,,,,inferred from Human
188,large neurotensin,peptide,['nts'],,,,,inferred from Human
189,leptin,peptide,['lep'],,,,,inferred from Human
190,liver enriched antimicrobial peptide 2,peptide,['leap2'],,,,,inferred from Human
191,lymphotoxin-α,peptide,['lta'],,,,,inferred from Human
192,macrophage stimulating protein 1,peptide,['mst1'],,,,,inferred from Human
193,melanin-concentrating hormone,peptide,['caap1'],,,,,inferred from Mouse
194,microtubule associated protein tau,peptide,['mapt'],,,,,inferred from Human
195,myostatin,peptide,"['mstn.1', 'ubap2']",,,,,inferred from Human
196,neuregulin-1,peptide,['gatad2a'],,,,,inferred from Human
197,neuregulin-3,peptide,['nrg3'],,,,,inferred from Human
198,neurokinin A,peptide,['tac1'],,,,,inferred from Mouse
199,neurokinin B,peptide,['tac3'],,,,,inferred from Mouse
200,neuromedin N,peptide,['nts'],,,,,inferred from Mouse
201,neuropeptide B-23,peptide,['arvcf'],,,,,inferred from Human
202,neuropeptide B-29,peptide,['arvcf'],,,,,inferred from Human
203,neuropeptide K,peptide,['tac1'],,,,,inferred from Rat
204,neuropeptide S,peptide,['nps'],,,,,inferred from Mouse
205,neuropeptide W-23,peptide,['arvcf'],,,,,inferred from Human
206,neuropeptide W-30,peptide,['arvcf'],,,,,inferred from Human
207,neuropeptide Y,peptide,['npy'],,,,,inferred from Mouse
208,neuropeptide Y-(3-36),peptide,['npy'],,,,,inferred from Mouse
209,neuropeptide γ,peptide,['tac1'],,,,,inferred from Mouse
210,neurotensin,peptide,['nts'],,,,,inferred from Mouse
211,neurotrophin-3,peptide,['ntf3'],,,,,inferred from Human
212,neurotrophin-4,peptide,['ntf4'],,,,,inferred from Human
213,nociceptin/orphanin FQ,peptide,['pnoc'],,,,,inferred from Mouse
214,orexin-A,peptide,"['l3mbtl3', 'yrdc']",,,,,inferred from Mouse
215,orexin-B,peptide,"['l3mbtl3', 'yrdc']",,,,,inferred from Human
216,osteocrin,peptide,['ostn'],,,,,inferred from Human
217,oxytocin,peptide,['oxt'],,,,,inferred from Mouse
218,peptide YY,peptide,['pyy'],,,,,inferred from Mouse
219,prokineticin-1,peptide,['ror1'],,,,,inferred from Human
220,prokineticin-2,peptide,['nefh'],,,,,inferred from Human
221,prokineticin-2β,peptide,['nefh'],,,,,inferred from Human
222,prolactin,peptide,['prl.1'],,,,,inferred from Human
223,prosaptide,peptide,['psap'],,,,,inferred from Human
224,protein S,peptide,['pros1'],,,,,inferred from Human
225,relaxin,peptide,['rflb'],,,,,inferred from Rat
226,relaxin-1,peptide,"['rflb', 'rflb']",,,,,inferred from Human
227,relaxin-3,peptide,['rln3'],,,,,inferred from Human
228,relaxin-3 (B chain),peptide,['rln3'],,,,,inferred from Human
229,ribosomal protein S19,peptide,['rps19'],,,,,inferred from Human
230,stem cell factor,peptide,['kitlg'],,,,,inferred from Human
231,substance P,peptide,['tac1'],,,,,inferred from Mouse
232,tumour necrosis factor membrane form,peptide,['tnf'],,,,,inferred from Human
233,tumour necrosis factor shed form,peptide,['tnf'],,,,,inferred from Human
234,urocortin 2,peptide,['ucn3'],,,,,inferred from Mouse
235,urocortin 3,peptide,['ucn3'],,,,,inferred from Mouse
236,urotensin II-related peptide,peptide,['uts2b'],,,,,inferred from Mouse
237,vasopressin,peptide,['oxt'],,,,,inferred from Mouse
238,xenin,peptide,['copa'],,,,,inferred from Mouse
239,α-MSH,peptide,['pomc'],,,,,inferred from Mouse
240,β-CGRP,peptide,['calca'],,,,,inferred from Rat
241,β-endorphin,peptide,['pomc'],,,,,inferred from Human
242,γ-MSH,peptide,['pomc'],,,,,inferred from Mouse
243,L-glutamic acid,molecule,,,"['slc17a6', 'hgf', 'slc17a8']","['slc1a1', 'slc1a2', 'slc1a6']",,Manually added genes
244,GABA,molecule,,"['gad1.1', 'gad2']",['slc32a1'],['XB5944457'],,Manually added genes
245,glycine,molecule,,,['slc32a1'],['slc6a9'],,Manually added genes
246,dopamine,molecule,,"['th', 'ddc']","['en1', 'slc18a3']",['slc6a3'],['dbh'],Manually added genes
247,(-)-noradrenaline,molecule,,"['th', 'ddc', 'dbh']","['en1', 'slc18a3']",['slc6a3'],['pnmt'],Manually added genes
248,(-)-adrenaline,molecule,,"['th', 'ddc', 'dbh', 'pnmt']",['en1'],,,Manually added genes
249,5-hydroxytryptamine,molecule,,"['TPH2', 'ddc']",['en1'],['slc6a4'],,Manually added genes
250,acetylcholine,molecule,,['chat'],['slc18a3'],"['ache', 'slc5a7']",,Manually added genes
