,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
107,IL-1β,peptide,['Il1b'],,,,,inferred from Human
108,IL-2,peptide,['Il2'],,,,,inferred from Human
109,IL-20,peptide,['Il20'],,,,,inferred from Human
110,IL-21,peptide,['Il21'],,,,,inferred from Human
111,IL-22,peptide,"['Il22', 'Iltifb']",,,,,inferred from Human
112,IL-24,peptide,['Il24'],,,,,inferred from Human
113,IL-25,peptide,['Il25'],,,,,inferred from Human
114,IL-3,peptide,['Il3'],,,,,inferred from Human
115,IL-31,peptide,['Il31'],,,,,inferred from Human
116,IL-33,peptide,['Il33'],,,,,inferred from Human
117,IL-34,peptide,['Il34'],,,,,inferred from Human
118,IL-36 receptor antagonist,peptide,['Il1f5'],,,,,inferred from Human
119,IL-36α,peptide,['Il1f6'],,,,,inferred from Human
120,IL-36β,peptide,['Il1f8'],,,,,inferred from Human
121,IL-36γ,peptide,['Il1f9'],,,,,inferred from Human
122,IL-4,peptide,['Il4'],,,,,inferred from Human
123,IL-5,peptide,['Il5'],,,,,inferred from Human
124,IL-6,peptide,['Il6'],,,,,inferred from Human
125,IL-7,peptide,['Il7'],,,,,inferred from Human
126,IL-9,peptide,['Il9'],,,,,inferred from Human
127,INSL5,peptide,['Insl5'],,,,,inferred from Mouse
128,LIF,peptide,['Lif'],,,,,inferred from Human
129,LIGHT,peptide,['Tnfsf14'],,,,,inferred from Human
130,LL-37,peptide,['Camp'],,,,,inferred from Human
131,LVP,peptide,['Camp'],,,,,inferred from Human
132,M-CSF,peptide,['Csf1'],,,,,inferred from Human
133,MANSC (415-431),peptide,['Mansc1'],,,,,inferred from Human
134,MSMB (91-114),peptide,['Msmb'],,,,,inferred from Human
135,Müllerian inhibiting substance,peptide,['Amh'],,,,,inferred from Human
136,NGF,peptide,['Ngf'],,,,,inferred from Human
137,NPY,peptide,['Ngf'],,,,,inferred from Human
138,OX-40 ligand,peptide,['Tnfsf4'],,,,,inferred from Human
139,PACAP-27,peptide,['Adcyap1'],,,,,inferred from Mouse
140,PACAP-38,peptide,['Adcyap1'],,,,,inferred from Mouse
141,PAMP-20,peptide,['Adm'],,,,,inferred from Human
142,PEN,peptide,['Pcsk1n'],,,,,inferred from Mouse
143,PHI,peptide,['Pcsk1n'],,,,,inferred from Mouse
144,PHM,peptide,['Vip'],,,,,inferred from Human
145,PHV,peptide,['Vip'],,,,,inferred from Rat
146,PTHrP,peptide,['Pthlh'],,,,,inferred from Human
147,PTHrP-(1-36),peptide,['Pthlh'],,,,,inferred from Human
148,PYY-(3-36),peptide,['Pyy'],,,,,inferred from Mouse
149,PrRP-20,peptide,['Prlh'],,,,,inferred from Rat
150,PrRP-31,peptide,['Prlh'],,,,,inferred from Rat
151,QRFP26,peptide,['Qrfp'],,,,,inferred from Mouse
152,QRFP43,peptide,['Qrfp'],,,,,inferred from Mouse
153,R-spondin-1,peptide,['Rspo1'],,,,,inferred from Mouse
154,R-spondin-2,peptide,['Rspo2'],,,,,inferred from Mouse
155,R-spondin-3,peptide,['Rspo3'],,,,,inferred from Mouse
156,R-spondin-4,peptide,['Rspo4'],,,,,inferred from Mouse
157,RANK ligand,peptide,['Tnfsf11'],,,,,inferred from Human
158,RFRP-3,peptide,['Npvf'],,,,,inferred from Human
159,SPAG11B (61-103),peptide,['Spag11b'],,,,,inferred from Human
160,SRIF-14,peptide,['Sst'],,,,,inferred from Mouse
161,SRIF-28,peptide,['Sst'],,,,,inferred from Mouse
162,T-kinin,peptide,"['Kng1', 'Kng2']",,,,,inferred from Rat
