,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
64,CXCL12δ,peptide,"['cxcl12a', 'cxcl12b']",,,,,inferred from Human
65,CXCL12ε,peptide,"['cxcl12a', 'cxcl12b']",,,,,inferred from Human
66,CXCL12φ,peptide,"['cxcl12a', 'cxcl12b']",,,,,inferred from Human
74,CXCL7,peptide,"['cxcl18b', 'cxcl20', 'CR762483.1']",,,,,inferred from Human
76,CXCL9,peptide,"['cxcl11.5', 'cxcl11.7', 'cxcl11.6', 'cxcl11.8', 'BX323596.1', 'BX323596.2']",,,,,inferred from Human
80,EGF,peptide,['egf'],,,,,inferred from Human
85,FLRT3,peptide,['flrt3'],,,,,inferred from Rat
87,Fas ligand,peptide,['faslg'],,,,,inferred from Human
89,G-CSF,peptide,"['csf3b', 'csf3a']",,,,,inferred from Human
90,GHRH,peptide,['ghrh'],,,,,inferred from Human
94,GnRH I,peptide,['gnrh3'],,,,,inferred from Mouse
95,GnRH II,peptide,"['gnrh2', 'gnrh3']",,,,,inferred from Human
96,Guanylyl cyclase-activating protein 2,peptide,['guca1b'],,,,,inferred from Mouse
97,HB-EGF,peptide,"['hbegfb', 'hbegfa']",,,,,inferred from Human
99,IFN-α10,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
100,IFN-α14,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
101,IFN-α16,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
102,IFN-α17,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
103,IFN-α2,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
104,IFN-α21,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
105,IFN-α4,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
106,IFN-α5,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
107,IFN-α6,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
108,IFN-α7,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
109,IFN-α8,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
110,IFN-β,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
111,IFN-γ,peptide,"['ifng1', 'ifng1r']",,,,,inferred from Human
112,IFN-κ,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
116,IFN-ω,peptide,"['ifnphi2', 'ifnphi3']",,,,,inferred from Human
117,IL-1 receptor antagonist,peptide,['il1b'],,,,,inferred from Human
118,IL-10,peptide,['il10'],,,,,inferred from Human
119,IL-11,peptide,"['il11a', 'il11b']",,,,,inferred from Human
122,IL-15,peptide,['il15'],,,,,inferred from Human
127,IL-17F,peptide,"['il17a/f3', 'il17a/f1']",,,,,inferred from Human
131,IL-1β,peptide,['il1b'],,,,,inferred from Human
137,IL-24,peptide,['il19l'],,,,,inferred from Human
144,IL-36 receptor antagonist,peptide,['il1b'],,,,,inferred from Human
145,IL-36α,peptide,['il1b'],,,,,inferred from Human
146,IL-36β,peptide,['il1b'],,,,,inferred from Human
147,IL-36γ,peptide,['il1b'],,,,,inferred from Human
148,IL-37,peptide,['il1b'],,,,,inferred from Human
155,INSL5,peptide,['insl5a'],,,,,inferred from Mouse
158,LIGHT,peptide,['tnfsf14'],,,,,inferred from Human
161,M-CSF,peptide,"['csf1b', 'csf1a']",,,,,inferred from Human
163,MSMB (91-114),peptide,"['hp', 'si:ch73-132k15.2']",,,,,inferred from Human
164,Müllerian inhibiting substance,peptide,['amh'],,,,,inferred from Human
165,NGF,peptide,"['ngfb', 'ngfa']",,,,,inferred from Human
166,NPY,peptide,"['ngfb', 'ngfa']",,,,,inferred from Human
168,PACAP-27,peptide,['adcyap1b'],,,,,inferred from Mouse
169,PACAP-38,peptide,['adcyap1b'],,,,,inferred from Mouse
170,PAMP-20,peptide,"['adma', 'admb']",,,,,inferred from Human
173,PHM,peptide,"['vip', 'vipb']",,,,,inferred from Human
174,PHV,peptide,"['vip', 'vipb']",,,,,inferred from Rat
175,PTHrP,peptide,"['pthlha', 'pthlhb']",,,,,inferred from Human
176,PTHrP-(1-36),peptide,"['pthlha', 'pthlhb']",,,,,inferred from Human
177,PYY-(3-36),peptide,"['pyyb', 'pyya']",,,,,inferred from Mouse
178,PrRP-20,peptide,['prlh2'],,,,,inferred from Rat
179,PrRP-31,peptide,['prlh2'],,,,,inferred from Rat
182,R-spondin-1,peptide,['rspo1'],,,,,inferred from Mouse
183,R-spondin-2,peptide,['rspo2'],,,,,inferred from Mouse
184,R-spondin-3,peptide,['rspo3'],,,,,inferred from Mouse
185,R-spondin-4,peptide,['rspo4'],,,,,inferred from Mouse
186,RANK ligand,peptide,['tnfsf11'],,,,,inferred from Human
187,RFRP-3,peptide,['npvf'],,,,,inferred from Human
189,SRIF-14,peptide,"['sst2', 'sst1.2', 'sst1.1']",,,,,inferred from Mouse
190,SRIF-28,peptide,"['sst2', 'sst1.2', 'sst1.1']",,,,,inferred from Mouse
191,T-kinin,peptide,"['fetub', 'si:ch211-284e20.8']",,,,,inferred from Rat
192,TGFα,peptide,['tgfa'],,,,,inferred from Human
193,TGFβ1,peptide,"['tgfb1b', 'tgfb1a']",,,,,inferred from Human
194,TGFβ2,peptide,['tgfb2'],,,,,inferred from Human
195,TGFβ3,peptide,['tgfb3'],,,,,inferred from Human
196,TIP39,peptide,['pth2'],,,,,inferred from Mouse
199,TRAIL,peptide,['tnfsf10'],,,,,inferred from Human
200,TRH,peptide,['trh'],,,,,inferred from Mouse
203,VEGFA,peptide,"['vegfab', 'vegfaa']",,,,,inferred from Human
204,VEGFB,peptide,"['vegfba', 'vegfbb']",,,,,inferred from Human
205,VEGFC,peptide,['vegfc'],,,,,inferred from Human
206,VEGFD,peptide,['vegfd'],,,,,inferred from Human
