,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
161,dynorphin A-(1-13),peptide,['pdyn'],,,,,inferred from Mouse
162,dynorphin A-(1-8),peptide,['pdyn'],,,,,inferred from Mouse
163,dynorphin B,peptide,['pdyn'],,,,,inferred from Mouse
164,ectodysplasin A1,peptide,['eda'],,,,,inferred from Human
165,ectodysplasin A2,peptide,['eda'],,,,,inferred from Human
166,endothelin-1,peptide,['edn1'],,,,,inferred from Mouse
167,endothelin-2,peptide,['edn2'],,,,,inferred from Human
168,endothelin-3,peptide,['edn3b'],,,,,inferred from Mouse
169,erythropoietin,peptide,"['epoa', 'epob']",,,,,inferred from Human
170,galanin,peptide,['galn'],,,,,inferred from Mouse
171,gastric inhibitory polypeptide,peptide,['gip'],,,,,inferred from Rat
172,gastrin-releasing peptide,peptide,"['ucmab', 'ucmaa']",,,,,inferred from Human
173,glucagon,peptide,"['gcgb', 'gcga']",,,,,inferred from Mouse
174,glucagon-like peptide 1-(7-36) amide,peptide,"['gcgb', 'gcga']",,,,,inferred from Mouse
175,glucagon-like peptide 1-(7-37),peptide,"['gcgb', 'gcga']",,,,,inferred from Mouse
176,glucagon-like peptide 2,peptide,"['gcgb', 'gcga']",,,,,inferred from Rat
177,glucagon-like peptide 2-(2-33),peptide,"['gcgb', 'gcga']",,,,,inferred from Rat
178,glucagon-like peptide 2-(3-33),peptide,"['gcgb', 'gcga']",,,,,inferred from Rat
179,growth arrest specific protein 6,peptide,['gas6'],,,,,inferred from Human
180,growth hormone 1,peptide,['gh1'],,,,,inferred from Human
181,growth hormone 2,peptide,['gh1'],,,,,inferred from Human
182,growth/differentiation factor-10,peptide,"['gdf10b', 'gdf10a']",,,,,inferred from Human
183,growth/differentiation factor-7,peptide,['gdf7'],,,,,inferred from Human
184,growth/differentiation factor-9,peptide,['gdf9'],,,,,inferred from Human
185,guanylyl cyclase-activating protein 1,peptide,"['si:ch211-103a14.5', 'guca1e']",,,,,inferred from Mouse
186,hepatocyte growth factor,peptide,"['hgfa', 'hgfb']",,,,,inferred from Human
187,insulin,peptide,"['insb', 'ins', 'insb', 'ins']",,,,,inferred from Human
188,insulin-like growth factor 1,peptide,"['igf3', 'igf1']",,,,,inferred from Mouse
189,insulin-like growth factor 2,peptide,"['igf2a', 'igf2b']",,,,,inferred from Human
190,kallidin,peptide,"['fetub', 'si:ch211-284e20.8']",,,,,inferred from Human
191,kisspeptin-10,peptide,['kiss1'],,,,,inferred from Human
192,kisspeptin-13,peptide,['kiss1'],,,,,inferred from Human
193,kisspeptin-14,peptide,['kiss1'],,,,,inferred from Human
194,kisspeptin-54,peptide,['kiss1'],,,,,inferred from Human
195,large neuromedin N,peptide,['nts'],,,,,inferred from Human
196,large neurotensin,peptide,['nts'],,,,,inferred from Human
197,liver enriched antimicrobial peptide 2,peptide,['si:dkey-22f5.9'],,,,,inferred from Human
198,lymphotoxin-α,peptide,"['tnfa', 'tnfb']",,,,,inferred from Human
199,macrophage stimulating protein 1,peptide,['mst1'],,,,,inferred from Human
200,melanin-concentrating hormone,peptide,"['pmch', 'pmchl']",,,,,inferred from Mouse
201,microtubule associated protein tau,peptide,"['maptb', 'mapta']",,,,,inferred from Human
202,neuregulin-1,peptide,['nrg1'],,,,,inferred from Human
203,neuregulin-2,peptide,"['nrg2a', 'nrg2b']",,,,,inferred from Human
204,neuregulin-3,peptide,['nrg3b'],,,,,inferred from Human
205,neurokinin A,peptide,['tac4'],,,,,inferred from Mouse
206,neurokinin B,peptide,['tac3a'],,,,,inferred from Mouse
207,neuromedin B,peptide,"['nmba', 'nmbb']",,,,,inferred from Mouse
208,neuromedin N,peptide,['nts'],,,,,inferred from Mouse
209,neuromedin U-23,peptide,['nmu'],,,,,inferred from Rat
210,neuromedin U-25,peptide,['nmu'],,,,,inferred from Human
211,neuromedin U-8,peptide,['nmu'],,,,,inferred from Human
212,neuropeptide B-23,peptide,['npb'],,,,,inferred from Human
213,neuropeptide B-29,peptide,['npb'],,,,,inferred from Human
214,neuropeptide FF,peptide,['npffl'],,,,,inferred from Mouse
215,neuropeptide K,peptide,['tac4'],,,,,inferred from Rat
216,neuropeptide W-23,peptide,['npb'],,,,,inferred from Human
217,neuropeptide W-30,peptide,['npb'],,,,,inferred from Human
218,neuropeptide Y,peptide,['npy'],,,,,inferred from Mouse
219,neuropeptide Y-(3-36),peptide,['npy'],,,,,inferred from Mouse
220,neuropeptide γ,peptide,['tac4'],,,,,inferred from Mouse
221,neurotensin,peptide,['nts'],,,,,inferred from Mouse
222,neurotrophin-3,peptide,['ntf3'],,,,,inferred from Human
223,nociceptin/orphanin FQ,peptide,"['pnocb', 'pnoca']",,,,,inferred from Mouse
224,orexin-A,peptide,['hcrt'],,,,,inferred from Mouse
225,orexin-B,peptide,['hcrt'],,,,,inferred from Human
226,osteocrin,peptide,['ostn'],,,,,inferred from Human
227,oxytocin,peptide,"['oxt', 'avp']",,,,,inferred from Mouse
228,peptide YY,peptide,"['pyyb', 'pyya']",,,,,inferred from Mouse
229,prokineticin-1,peptide,['prok1'],,,,,inferred from Human
230,prokineticin-2,peptide,"['prok1', 'prok2']",,,,,inferred from Human
231,prokineticin-2β,peptide,"['prok1', 'prok2']",,,,,inferred from Human
232,prolactin,peptide,['prl'],,,,,inferred from Human
233,prosaptide,peptide,['psap'],,,,,inferred from Human
234,protein S,peptide,['pros1'],,,,,inferred from Human
235,relaxin-3,peptide,"['rln3a', 'rln3b']",,,,,inferred from Human
236,relaxin-3 (B chain),peptide,"['rln3a', 'rln3b']",,,,,inferred from Human
237,ribosomal protein S19,peptide,['rps19'],,,,,inferred from Human
238,serum amyloid A,peptide,['saa'],,,,,inferred from Human
239,stem cell factor,peptide,"['kitlgb', 'kitlga']",,,,,inferred from Human
240,substance P,peptide,['tac4'],,,,,inferred from Mouse
241,thrombopoietin,peptide,['thpo'],,,,,inferred from Human
242,urocortin 1,peptide,['uts1'],,,,,inferred from Mouse
243,urocortin 2,peptide,['ucn3l'],,,,,inferred from Mouse
244,urocortin 3,peptide,['ucn3l'],,,,,inferred from Mouse
245,urotensin-II,peptide,"['uts2b', 'uts2a']",,,,,inferred from Mouse
246,vasopressin,peptide,"['oxt', 'avp']",,,,,inferred from Mouse
247,xenin,peptide,['copa'],,,,,inferred from Mouse
248,α-MSH,peptide,"['pomca', 'pomcb']",,,,,inferred from Mouse
249,α-neoendorphin,peptide,['pdyn'],,,,,inferred from Mouse
250,β-CGRP,peptide,['calca'],,,,,inferred from Rat
251,β-endorphin,peptide,"['pomca', 'pomcb']",,,,,inferred from Human
252,β-neoendorphin,peptide,['pdyn'],,,,,inferred from Mouse
253,γ-MSH,peptide,"['pomca', 'pomcb']",,,,,inferred from Mouse
254,L-glutamic acid,molecule,,,"['slc17a6a', 'slc17a6b', 'slc17a7a', 'slc17a7b', 'slc17a8']","['slc1a1', 'slc1a2a', 'slc1a2b', 'slc1a6']",,Manually added genes
255,GABA,molecule,,"['gad1b', 'gad1a', 'gad2']",['slc32a1'],"['slc6a1b', 'slc6a1a']",,Manually added genes
256,glycine,molecule,,,['slc32a1'],['slc6a9'],,Manually added genes
257,dopamine,molecule,,"['th', 'ddc']","['slc18a2', 'slc18a3a', 'slc18a3b']",['slc6a3'],['dbh'],Manually added genes
258,(-)-noradrenaline,molecule,,"['th', 'ddc', 'dbh']","['slc18a2', 'slc18a3a', 'slc18a3b']",['slc6a3'],['CR456635.1'],Manually added genes
259,(-)-adrenaline,molecule,,"['th', 'ddc', 'dbh', 'CR456635.1']",['slc18a2'],,,Manually added genes
260,5-hydroxytryptamine,molecule,,"['tph2', 'ddc']",['slc18a2'],['slc6a4a'],,Manually added genes
261,acetylcholine,molecule,,['chata'],"['slc18a3a', 'slc18a3b']","['ache', 'slc5a7a', 'SLC5A7']",,Manually added genes
