,ligand,ligand_type,preprogene,synthesis,transport,reuptake,excluded,comment
113,IFN-λ3,peptide,"['Ifnl2', 'Ifnl3']",,,,,inferred from Human
115,IL-1 receptor antagonist,peptide,['Il1rn'],,,,,inferred from Human
116,IL-10,peptide,['Il10'],,,,,inferred from Human
117,IL-11,peptide,['Il11'],,,,,inferred from Human
119,IL-13,peptide,['Il13'],,,,,inferred from Human
120,IL-15,peptide,['Il15'],,,,,inferred from Human
121,IL-17A,peptide,['Il17a'],,,,,inferred from Human
123,IL-17B,peptide,['Il17b'],,,,,inferred from Human
124,IL-17C,peptide,['Il17c'],,,,,inferred from Human
125,IL-17F,peptide,['Il17f'],,,,,inferred from Human
126,IL-18,peptide,['Il18'],,,,,inferred from Human
127,IL-19,peptide,['Il19'],,,,,inferred from Human
128,IL-1α,peptide,['Il1a'],,,,,inferred from Human
129,IL-1β,peptide,['Il1b'],,,,,inferred from Human
130,IL-2,peptide,['Il2'],,,,,inferred from Human
131,IL-20,peptide,['Il20'],,,,,inferred from Human
132,IL-21,peptide,['Il21'],,,,,inferred from Human
133,IL-22,peptide,"['Il22', 'Iltifb']",,,,,inferred from Human
135,IL-24,peptide,['Il24'],,,,,inferred from Human
136,IL-25,peptide,['Il25'],,,,,inferred from Human
138,IL-3,peptide,['Il3'],,,,,inferred from Human
139,IL-31,peptide,['Il31'],,,,,inferred from Human
140,IL-33,peptide,['Il33'],,,,,inferred from Human
141,IL-34,peptide,['Il34'],,,,,inferred from Human
142,IL-36 receptor antagonist,peptide,['Il1f5'],,,,,inferred from Human
143,IL-36α,peptide,['Il1f6'],,,,,inferred from Human
144,IL-36β,peptide,['Il1f8'],,,,,inferred from Human
145,IL-36γ,peptide,['Il1f9'],,,,,inferred from Human
147,IL-4,peptide,['Il4'],,,,,inferred from Human
148,IL-5,peptide,['Il5'],,,,,inferred from Human
149,IL-6,peptide,['Il6'],,,,,inferred from Human
150,IL-7,peptide,['Il7'],,,,,inferred from Human
151,IL-9,peptide,['Il9'],,,,,inferred from Human
153,INSL5,peptide,"['I', 'n', 's', 'l', '5']",,,,,inferred from Mouse
155,LIF,peptide,['Lif'],,,,,inferred from Human
156,LIGHT,peptide,['Tnfsf14'],,,,,inferred from Human
157,LL-37,peptide,['Camp'],,,,,inferred from Human
158,LVP,peptide,['Camp'],,,,,inferred from Human
159,M-CSF,peptide,['Csf1'],,,,,inferred from Human
160,Müllerian inhibiting substance,peptide,['Amh'],,,,,inferred from Human
161,NGF,peptide,['Ngf'],,,,,inferred from Human
162,NPY,peptide,['Ngf'],,,,,inferred from Human
163,OX-40 ligand,peptide,['Tnfsf4'],,,,,inferred from Human
164,PACAP-27,peptide,"['A', 'd', 'c', 'y', 'a', 'p', '1']",,,,,inferred from Mouse
165,PACAP-38,peptide,"['A', 'd', 'c', 'y', 'a', 'p', '1']",,,,,inferred from Mouse
166,PAMP-20,peptide,['Adm'],,,,,inferred from Human
167,PEN,peptide,"['P', 'c', 's', 'k', '1', 'n']",,,,,inferred from Mouse
